k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
671	0.00789710699999999	0.017776753	0.011467688	0.014117435	0.010866184	0.00913000399999998	0.008642029	0.008186887	0.008254873	0.00831208299999999	0.422998552396885	0.201226219143226	0.200645292346921	0.201395901709788	0.389090148665834	0.349435029993221	0.300983749651764	0.266575897057275	0.251780468490189	0.336953987233425
681	0.00803192799999999	0.018129833	0.011686932	0.014447076	0.011106256	0.00927726399999998	0.008780318	0.008288382	0.008422089	0.00845039199999999	0.422998552396885	0.201226219143226	0.2008842222771	0.201395901709788	0.389090148665788	0.349435029917795	0.300983743629686	0.26657573312425	0.25178045902655	0.337123497908273
691	0.00814210399999999	0.01824273	0.011821346	0.014520076	0.011223044	0.00938474899999998	0.00889925900000001	0.008389757	0.008522569	0.00858355399999999	0.413203161916861	0.218382113831904	0.204131178544292	0.20382954222936	0.375791099571076	0.339871164464097	0.295356865942366	0.263744292862645	0.250872556308363	0.333818583178101
701	0.00823243699999999	0.018454893	0.011972672	0.014747465	0.011360738	0.00950422299999998	0.00901733700000001	0.008500551	0.00863137499999999	0.008695632	0.413203161916861	0.218382113831904	0.2181881433918	0.217852579620564	0.375791098862789	0.339871081297711	0.295355802547886	0.262878747019809	0.254848373674423	0.349468450641733
711	0.00831168599999999	0.018480897	0.012111969	0.014866567	0.011477294	0.00964988299999998	0.00912552000000001	0.008605453	0.008735901	0.008815165	0.409596668604002	0.218382113831904	0.218206602547866	0.217852579620564	0.374002093756022	0.33905380494737	0.295140522860619	0.262870020074309	0.254856654885206	0.349562229210014
721	0.00849981999999999	0.018525381	0.012284808	0.014948862	0.011647149	0.00977371299999998	0.00923725900000001	0.008717983	0.008856376	0.008927115	0.405290892964796	0.21676921960712	0.217695550388115	0.216347938244502	0.369318769352311	0.334141207039688	0.289430697570417	0.25316141046001	0.234411215543477	0.318487754390387
731	0.00859348599999999	0.018748046	0.012441625	0.015135483	0.011777933	0.00989874299999998	0.00938158300000001	0.008831572	0.00897003399999999	0.00904033	0.403185535344206	0.21676921960712	0.216913407320245	0.21646002558176	0.368445325276361	0.333971647469087	0.289645416365287	0.252682983280435	0.229557175595339	0.295528439352146
741	0.00867138399999998	0.018816655	0.012572558	0.015303714	0.011888775	0.010001709	0.00950104100000001	0.008959469	0.009073992	0.009142789	0.403007049526357	0.204565211442811	0.204691477191875	0.2041152766637	0.3683998908101	0.33397322666455	0.289650428366566	0.248290422177093	0.217349098988323	0.291941316398534
751	0.00874551999999998	0.01895055	0.012686878	0.015526171	0.011994716	0.010096015	0.00959332900000001	0.009051735	0.009190251	0.009233853	0.401729657034175	0.204565211442811	0.204717973423562	0.2041152766637	0.367505612124216	0.333477743743363	0.289453495855516	0.248243675577351	0.214118478328225	0.292022104575206
761	0.00888625899999998	0.019179698	0.012852968	0.015609391	0.012144302	0.010217289	0.00969886500000001	0.00916634	0.009302167	0.009338966	0.394893138076575	0.202842482384809	0.204125101587663	0.202959834753448	0.356734913228277	0.319652568480671	0.278524278054336	0.241950039199839	0.212833686678388	0.290958892865579
